Issue Number,Title,State,Comments,Created At,Closed At
6044,Minimise the size of the code object table.,closed,5,2024-02-29,2024-03-05
6043,Generate cache for builtins,closed,3,2024-02-29,2024-03-08
6042,[BUG] `.so` file size too large?,closed,10,2024-02-28,2024-02-29
6041,Add fixing of warning in 3.0.9 to CHANGES.rst,closed,3,2024-02-28,2024-02-28
6040,C++ complex class fixes and tests,closed,15,2024-02-28,2024-03-21
6039,Disable GCC warnings/errors about wrong self casts in final function calls,closed,22,2024-02-28,2024-03-03
6038,[BUG] Fused type in init yields broken C program,open,0,2024-02-27,N/A
6037,Added missing `replace` functions to C++ `std::string` definition,closed,2,2024-02-26,2024-02-28
6036,Rationalize the different cline traceback options,closed,15,2024-02-25,2024-03-09
6035,Fix (most) unused variable warnings about clineno,closed,4,2024-02-25,2024-02-25
6034,Document and improve generation of C lines in traceback,closed,9,2024-02-25,2024-03-09
6033,[BUG] Incompatible pointer in inlined method of derived class,closed,2,2024-02-24,2024-02-25
6032,Tighten the constness on some string arrays,closed,1,2024-02-24,2024-02-25
6031,Cleanup of SetItemInTypeDict,closed,0,2024-02-24,2024-03-03
6030,Add __Pyx_PyList_pack function,closed,3,2024-02-24,2024-02-27
6029,"Notes on ""tuple table""",open,4,2024-02-24,N/A
6028,Initialize code objects with loop over table,closed,1,2024-02-24,2024-02-27
6027,[BUG] Cython inserts a call to PyMemoryView_CheckExact() which is not present in CPython API,closed,1,2024-02-24,2024-02-24
6025,Move Py_UNICODE out of universal utility code (#6006) (3.0.x backport),closed,0,2024-02-22,2024-02-24
6024,Fix PyImport_AddModuleRef on the limited API,closed,1,2024-02-22,2024-02-24
6023,[BUG] Segfault when passing None to `cdef` method.,open,0,2024-02-22,N/A
6022,[BUG] Segfault when __dealloc__ calls a non-existent method.,closed,2,2024-02-22,2024-05-21
6021,C-API for signalling monitoring events ,closed,0,2024-02-22,2024-02-25
6020,"[BUG] ""isolated_limited_api_tests"" crashes in Py3.13a4",closed,1,2024-02-22,2024-02-24
6019,[ENH] Allow using scan-build/clang static analyzer with `__cinit__`,open,0,2024-02-21,N/A
6018,Refactor stringtab generation,closed,3,2024-02-21,2024-02-22
6017,Fix issue with early inline code,closed,1,2024-02-21,2024-03-28
